web-scraper-order,web-scraper-start-url,List,List-href,bio,image-src,facts
"1518863207-2422","https://en.wikipedia.org/wiki/100_Greatest_African_Americans","Malcolm X","https://en.wikipedia.org/wiki/Malcolm_X","Malcolm X (1925–1965) was an African-American Muslim minister and human rights activist. To his admirers he was a courageous advocate for the rights of blacks, a man who indicted white America in the harshest terms for its crimes against black Americans; detractors accused him of preaching racism and violence. He has been called one of the greatest and most influential African Americans in history.","//upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Malcolm_X_NYWTS_2a.jpg/220px-Malcolm_X_NYWTS_2a.jpg","[{""facts"":""Malcolm X in March 1964""},{""facts"":""Malcolm Little\n\n(1925-05-19)May 19, 1925\n\nOmaha, Nebraska""},{""facts"":""February 21, 1965(1965-02-21) (aged 39)\n\nManhattan, New York""},{""facts"":""Assassination (multiple gunshots)""},{""facts"":""Ferncliff Cemetery""},{""facts"":""el-Hajj Malik el-Shabazz\n\n(الحاجّ مالك الشباز)""},{""facts"":""Minister, activist""},{""facts"":""Nation of Islam,\n\nMuslim Mosque, Inc.,\n\nOrganization of Afro-American Unity""},{""facts"":""Black nationalism,\n\nPan-Africanism""},{""facts"":""Spouse(s)""},{""facts"":""Betty Shabazz (m. 1958)""},{""facts"":""Children""},{""facts"":""Attallah Shabazz\n\nQubilah Shabazz\n\nIlyasah Shabazz\n\nGamilah Lumumba Shabazz\n\nMalikah Shabazz\n\nMalaak Shabazz""},{""facts"":""Parent(s)""},{""facts"":""Earl Little\n\nLouise Helen Norton Little""},{""facts"":""Signature""},{""facts"":""""}]"
"1518863298-2462","https://en.wikipedia.org/wiki/100_Greatest_African_Americans","Thurgood Marshall","https://en.wikipedia.org/wiki/Thurgood_Marshall","Thurgood Marshall (July 2, 1908 – January 24, 1993) was an American lawyer, serving as Associate Justice of the Supreme Court of the United States from October 1967 until October 1991. Marshall was the Court's 96th justice and its first African-American justice. Prior to his judicial service, he successfully argued several cases before the Supreme Court.","//upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Thurgood-marshall-2.jpg/220px-Thurgood-marshall-2.jpg","[{""facts"":""""},{""facts"":""In office\n\nAugust 30, 1967 – October 1, 1991[1]""},{""facts"":""Lyndon B. Johnson""},{""facts"":""Tom Clark""},{""facts"":""Clarence Thomas""},{""facts"":""In office\n\nAugust 23, 1965 – August 30, 1967""},{""facts"":""President""},{""facts"":""Lyndon B. Johnson""},{""facts"":""Preceded by""},{""facts"":""Archibald Cox""},{""facts"":""Succeeded by""},{""facts"":""Erwin Griswold""},{""facts"":""Judge of the United States Court of Appeals for the Second Circuit""},{""facts"":""In office\n\nOctober 5, 1961 – August 23, 1965""},{""facts"":""Nominated by""},{""facts"":""John F. Kennedy""},{""facts"":""Preceded by""},{""facts"":""Seat established""},{""facts"":""Succeeded by""},{""facts"":""Wilfred Feinberg""},{""facts"":""""},{""facts"":""Personal details""},{""facts"":""Born""},{""facts"":""Thoroughgood Marshall\n\n(1908-07-02)July 2, 1908\n\nBaltimore, Maryland, U.S.""},{""facts"":""Died""},{""facts"":""January 24, 1993(1993-01-24) (aged 84)\n\nBethesda, Maryland, U.S.""},{""facts"":""Political party""},{""facts"":""Democratic""},{""facts"":""Spouse(s)""},{""facts"":""Buster Burey (1929–1955; her death)\n\nCecilia Suyat (1955–1993; his death)""},{""facts"":""Children""},{""facts"":""Thurgood\n\nJohn""},{""facts"":""Education""},{""facts"":""Lincoln University, Pennsylvania (BA)\n\nHoward University (LLB)""}]"
"1518863211-2424","https://en.wikipedia.org/wiki/100_Greatest_African_Americans","Carter G. Woodson","https://en.wikipedia.org/wiki/Carter_G._Woodson","Carter Godwin Woodson (December 19, 1875 – April 3, 1950)[1] was an American historian, author, journalist and the founder of the Association for the Study of African American Life and History. He was one of the first scholars to study African-American history. A founder of The Journal of Negro History in 1916, Woodson has been cited as the ""father of black history"".[2] In February 1926 he launched the celebration of ""Negro History Week"", the precursor of Black History Month.[3]","//upload.wikimedia.org/wikipedia/commons/c/c3/Carter_G_Woodson_portrait.jpg","[{""facts"":""Carter Godwin Woodson\n\n(1875-12-19)December 19, 1875\n\nNew Canton, Virginia, U.S.""},{""facts"":""April 3, 1950(1950-04-03) (aged 74)\n\nWashington, D.C., U.S.""},{""facts"":""Berea College\n\n(B.Litt 1903)\n\nUniversity of Chicago\n\n(A.B., A.M. 1908)\n\nHarvard University\n\n(Ph.D. 1912)""},{""facts"":""Historian""},{""facts"":""Association for the Study of Negro Life and History;\n\nNegro History Week;\n\nThe Journal of Negro History""}]"
"1518863333-2479","https://en.wikipedia.org/wiki/100_Greatest_African_Americans","Dorothy Height","https://en.wikipedia.org/wiki/Dorothy_Height","Dorothy Irene Height (March 24, 1912 – April 20, 2010[1]) was an American administrator and educator who worked as a civil rights and women's rights activist, specifically focused on the issues of African-American women, including unemployment, illiteracy, and voter awareness.[2] She was the president of the National Council of Negro Women for forty years and was awarded the Presidential Medal of Freedom in 1994 and the Congressional Gold Medal in 2004.[1]","//upload.wikimedia.org/wikipedia/commons/thumb/b/ba/DrDorothyHeight.jpg/220px-DrDorothyHeight.jpg","[{""facts"":""Dorothy Irene Height\n\n(1912-03-24)March 24, 1912\n\nRichmond, Virginia, U.S.""},{""facts"":""April 20, 2010(2010-04-20) (aged 98)\n\nWashington, D.C., U.S.""},{""facts"":""Educator and social activist""},{""facts"":""Online books\nResources in your library\nResources in other libraries""}]"
"1518863287-2457","https://en.wikipedia.org/wiki/100_Greatest_African_Americans","Dorie Miller","https://en.wikipedia.org/wiki/Dorie_Miller","Doris ""Dorie"" Miller (October 12, 1919 – November 24, 1943) was a Cook Third Class[1] that the United States Navy noted for his bravery during the attack on Pearl Harbor on December 7, 1941. He was the first African American to be awarded the Navy Cross, the third highest honor awarded by the US Navy at the time, after the Medal of Honor and the Navy Distinguished Service Medal. The Navy Cross now precedes the Navy Distinguished Service Medal.[2] Miller's acts were heavily publicized in the black press, making him an iconic emblem of the war for black Americans.[3] Nearly two years after Pearl Harbor, he was killed in action when Liscome Bay was sunk by a Japanese submarine during the Battle of Makin.","//upload.wikimedia.org/wikipedia/commons/thumb/0/06/Doris_Miller.jpg/220px-Doris_Miller.jpg","[{""facts"":""Miller with his Navy Cross""},{""facts"":""\""Dorie\""""},{""facts"":""(1919-10-12)October 12, 1919\n\nWaco, Texas""},{""facts"":""November 24, 1943(1943-11-24) (aged 24)\n\nGilbert Islands, Gilbert and Ellice Islands""},{""facts"":""United States of America""},{""facts"":""United States Navy""},{""facts"":""1939–1943""},{""facts"":""Cook Third Class""},{""facts"":""356-12-35""},{""facts"":""Unit""},{""facts"":""USS West Virginia\n\nUSS Liscome Bay""},{""facts"":""Battles/wars""},{""facts"":""World War II\n\nAttack on Pearl Harbor\nBattle of Tarawa\nOperation Galvanic\nBattle of Makin †""},{""facts"":""Awards""},{""facts"":""Navy Cross\n Purple Heart""},{""facts"":""Navy Cross\n Purple Heart""}]"
"1518863271-2450","https://en.wikipedia.org/wiki/100_Greatest_African_Americans","Colin Powell","https://en.wikipedia.org/wiki/Colin_Powell","Colin Luther Powell (/ˈkoʊlɪn/; born April 5, 1937)[1] is an American elder statesman and a retired four-star general in the United States Army.[2] Powell was born in Harlem as the son of Jamaican immigrants. During his military career, Powell also served as National Security Advisor (1987–1989), as Commander of the U.S. Army Forces Command (1989) and as Chairman of the Joint Chiefs of Staff (1989–1993), holding the latter position during the Persian Gulf War. Powell was the first, and so far the only, African American to serve on the Joint Chiefs of Staff. He was the 65th United States Secretary of State, serving under U.S. President George W. Bush from 2001 to 2005, the first African American to serve in that position.[3][4][5][6]","//upload.wikimedia.org/wikipedia/commons/thumb/2/22/Colin_Powell_official_Secretary_of_State_photo.jpg/220px-Colin_Powell_official_Secretary_of_State_photo.jpg","[{""facts"":""""},{""facts"":""In office\n\nJanuary 20, 2001 – January 26, 2005""},{""facts"":""George W. Bush""},{""facts"":""Richard Armitage""},{""facts"":""Madeleine Albright""},{""facts"":""Condoleezza Rice""},{""facts"":""In office\n\nOctober 1, 1989 – September 30, 1993""},{""facts"":""President""},{""facts"":""George H. W. Bush\n\nBill Clinton""},{""facts"":""Deputy""},{""facts"":""Robert Herres\n\nDavid Jeremiah""},{""facts"":""Preceded by""},{""facts"":""William Crowe""},{""facts"":""Succeeded by""},{""facts"":""David Jeremiah (Acting)""},{""facts"":""16th National Security Advisor""},{""facts"":""In office\n\nNovember 23, 1987 – January 20, 1989""},{""facts"":""President""},{""facts"":""Ronald Reagan""},{""facts"":""Deputy""},{""facts"":""John Negroponte""},{""facts"":""Preceded by""},{""facts"":""Frank Carlucci""},{""facts"":""Succeeded by""},{""facts"":""Brent Scowcroft""},{""facts"":""""},{""facts"":""Personal details""},{""facts"":""Born""},{""facts"":""Colin Luther Powell\n\n(1937-04-05) April 5, 1937 (age 80)\n\nNew York City, New York, U.S.""},{""facts"":""Political party""},{""facts"":""Republican""},{""facts"":""Spouse(s)""},{""facts"":""Alma Johnson (m. 1962)""},{""facts"":""Education""},{""facts"":""City University of New York, City College (BS)\n\nGeorge Washington University (MBA)""},{""facts"":""Signature""},{""facts"":""""},{""facts"":""Military service""},{""facts"":""Allegiance""},{""facts"":""United States""},{""facts"":""Service/branch""},{""facts"":""United States Army""},{""facts"":""Years of service""},{""facts"":""1958–1993""},{""facts"":""Rank""},{""facts"":""General""},{""facts"":""Unit""},{""facts"":""3rd Armored Division\n\n  23rd Infantry Division""},{""facts"":""Commands""},{""facts"":""V Corps\n\n Joint Chiefs of Staff\n\nArmy Forces Command""},{""facts"":""Battles/wars""},{""facts"":""Vietnam War\n\nInvasion of Panama\n\nPersian Gulf War""}]"
"1518863232-2432","https://en.wikipedia.org/wiki/100_Greatest_African_Americans","Ida B. Wells-Barnett","https://en.wikipedia.org/wiki/Ida_B._Wells-Barnett","Ida Bell Wells-Barnett (July 16, 1862 – March 25, 1931), more commonly known as Ida B. Wells, was an African-American journalist, newspaper editor, suffragist, sociologist, feminist,[1] Georgist,[2] and an early leader in the Civil Rights Movement. She was one of the founders of the National Association for the Advancement of Colored People (NAACP) in 1909.[3]","//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Mary_Garrity_-_Ida_B._Wells-Barnett_-_Google_Art_Project_-_restoration_crop.jpg/200px-Mary_Garrity_-_Ida_B._Wells-Barnett_-_Google_Art_Project_-_restoration_crop.jpg","[{""facts"":""Wells, c. 1893""},{""facts"":""Ida Bell Wells\n\n(1862-07-16)July 16, 1862\n\nHolly Springs, Mississippi, U.S.""},{""facts"":""March 25, 1931(1931-03-25) (aged 68)\n\nChicago, Illinois, U.S.""},{""facts"":""Freedman's School\n\nShaw University\nRust College\n\nFisk University""},{""facts"":""Civil rights and women's rights activist, teacher, local paper editor""},{""facts"":""Republican""},{""facts"":""Ferdinand L. Barnett""},{""facts"":""James Wells and Elizabeth \""Izzy Bell\"" Warrenton""},{""facts"":""Online books\nResources in your library\nResources in other libraries""}]"
"1518863316-2471","https://en.wikipedia.org/wiki/100_Greatest_African_Americans","James Weldon Johnson","https://en.wikipedia.org/wiki/James_Weldon_Johnson","James Weldon Johnson (June 17, 1871 – June 26, 1938) was an American author, educator, lawyer, diplomat, songwriter, and civil rights activist. Johnson is best remembered for his leadership of the National Association for the Advancement of Colored People (NAACP), where he started working in 1917. In 1920 he was the first African American to be chosen as executive secretary of the organization, effectively the operating officer.[1] He served in that position from 1920 to 1930. Johnson established his reputation as a writer, and was known during the Harlem Renaissance for his poems, novels, and anthologies collecting both poems and spirituals of black culture.","//upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Jamesweldonjohnson.jpg/200px-Jamesweldonjohnson.jpg","[{""facts"":""Photographed by Carl Van Vechten, 1932""},{""facts"":""(1871-06-17)June 17, 1871\n\nFlorida, United States""},{""facts"":""June 26, 1938(1938-06-26) (aged 67)\n\nWiscasset, Maine, United States""},{""facts"":""Green-Wood Cemetery, New York City, NY""},{""facts"":""Author, activist, educator, lawyer, diplomat""},{""facts"":""English""},{""facts"":""African American""},{""facts"":""United States""},{""facts"":""New York University""},{""facts"":""Period""},{""facts"":""Harlem Renaissance (1891- 1938)""},{""facts"":""Subject""},{""facts"":""Civil Rights""},{""facts"":""Literary movement""},{""facts"":""Harlem Renaissance""},{""facts"":""Notable works""},{""facts"":""\""Lift Ev'ry Voice and Sing,\"" The Autobiography of an Ex-Colored Man, God's Trombones, Along This Way""},{""facts"":""Notable awards""},{""facts"":""Spingarn Medal from NAACP, Harmon Gold Award""},{""facts"":""Spouse""},{""facts"":""Grace Nail Johnson""}]"
"1518863293-2460","https://en.wikipedia.org/wiki/100_Greatest_African_Americans","Elijah McCoy","https://en.wikipedia.org/wiki/Elijah_McCoy","Elijah J. McCoy (May 2, 1844 [2] – October 10, 1929) was a Canadian-American inventor and engineer who was notable for his 57 U.S. patents, most having to do with the lubrication of steam engines. Born free in Canada, he came to the United States as a young child when his family returned in 1847, becoming a U.S. resident and citizen.","//upload.wikimedia.org/wikipedia/commons/thumb/a/af/Elijah_McCoy.jpg/220px-Elijah_McCoy.jpg","[{""facts"":""Elijah J. McCoy\n\nMay 2, 1844\n\nColchester, Ontario, Canada[1]""},{""facts"":""October 10, 1929 (1929-10-11) (aged 85)\n\nDetroit, Michigan, United States""},{""facts"":""Dementia""},{""facts"":""Detroit Memorial Park East in Warren, Michigan, U.S.""},{""facts"":""Canadian""},{""facts"":""Mechanical Engineering""},{""facts"":""Engineer, inventor, initially employed as a railroad fireman and oiler""},{""facts"":""Mine Coaling""},{""facts"":""Known for""},{""facts"":""Inventions, particularly his Mechanical Lubricator""},{""facts"":""Spouse(s)""},{""facts"":""Ann Elizabeth Stewart; Mary Eleanor Delaney""},{""facts"":""Parent(s)""},{""facts"":""Mildred Goins and George McCoy""}]"
"1518863370-2497","https://en.wikipedia.org/wiki/100_Greatest_African_Americans","Bill Cosby","https://en.wikipedia.org/wiki/Bill_Cosby","William Henry Cosby Jr. (/ˈkɒzbi/; born July 12, 1937) is an American stand-up comedian, actor, musician, and author.","//upload.wikimedia.org/wikipedia/commons/thumb/9/9d/2011_Bill_Cosby.jpg/220px-2011_Bill_Cosby.jpg","[{""facts"":""Cosby in 2011""},{""facts"":""William Henry Cosby Jr.\n\n(1937-07-12) July 12, 1937 (age 80)\n\nPhiladelphia, Pennsylvania, U.S.""},{""facts"":""Temple University (1971)""},{""facts"":""Actor, comedian, musician, author""},{""facts"":""1961–2015""},{""facts"":""Camille Hanks (m. 1964)""},{""facts"":""5, including Erika Cosby and Ennis Cosby""},{""facts"":""Presidential Medal of Freedom""},{""facts"":""Comedy career""},{""facts"":""Medium""},{""facts"":""Stand-up comedy, film, television""},{""facts"":""Genres""},{""facts"":""Observational comedy, satire, surreal humor, deadpan""},{""facts"":""Website""},{""facts"":""billcosby.com""},{""facts"":""""},{""facts"":""Bill Cosby: the man and the trial, 49:44, Radio Times, WHYY[3]""}]"
